id,date_of_birth,email,first_name,last_name,city,country,postal_code,state,street,phone,user_id
1735a956-4e9d-4254-b6e4-03a7d7217bfe,2025-03-23,,Grazia,Stockdale,Hollywood,United States,33023,Florida,Redwing,,2917d983-07fc-460a-a8c3-2bf461b8e3cb
c42a21a2-15b6-4b00-8f8d-17afdabe43db,2025-06-26,,Jodi,Haycock,El Paso,United States,88514,Texas,Johnson,,59215edd-21bf-408d-99af-9295660c98ed
5da29e24-8cd4-4a59-9ac5-b28316a14863,2025-10-05,,Quent,Binder,Charlottesville,United States,22908,Virginia,Manufacturers,,798596e4-464a-442e-8712-6e6cb725624f
22473b50-0423-4c84-adf0-0a5886873930,2025-07-03,,Rodrique,Ewence,Memphis,United States,38161,Tennessee,Johnson,,d19ae62a-982b-48ff-a32c-167d0365ccab
a77f6087-1a26-4bd7-8b4a-1be85c983990,2025-02-28,,Ginny,Keaves,San Diego,United States,92176,California,Sunbrook,,5f5e3fb2-b35d-4f7c-9fcb-e199a103ad22
d28ce626-ff30-4fc0-9603-a37e607850c8,2025-04-02,,Sibylla,Deeprose,Grand Rapids,United States,49544,Michigan,Mariners Cove,,f3df07c6-51d4-49af-af7b-1e7470302f06
eb76aad7-2d27-4b54-8125-36bb4f6a1da9,2025-08-24,,Marline,Fairleigh,Phoenix,United States,85072,Arizona,Westend,,9149002e-e726-4d4e-9cb6-1e99ce964906
8fd6c2ad-d99d-4289-bb04-039695074464,2025-04-22,,Dulciana,Jervoise,Fort Lauderdale,United States,33345,Florida,Heath,,fbe7368b-a749-4896-bd1b-ab3d32725f19
5b2c7d48-7da4-43d3-a60d-6ca0fa0b3d3b,2025-03-06,,Catherine,McAulay,Roanoke,United States,24040,Virginia,Monument,,7f48b4ee-80c4-4047-a0f0-517ab3c4c9ee
523f4f7f-2fbd-4e59-9da8-37706a8f338b,2025-09-11,,Teodoor,Sheron,Washington,United States,20470,District of Columbia,Clarendon,,91569fd0-da89-4c0b-b4e7-5ec6ff8c379d
1b3b4403-162e-4e78-b4b1-8ec8d11266c5,2024-12-22,,Forester,Farriar,Portland,United States,97229,Oregon,Monument,,59215edd-21bf-408d-99af-9295660c98ed
a6227f96-9ea2-471b-bb77-5cabda26a1f1,2025-07-06,,Eamon,Cockhill,Los Angeles,United States,90065,California,Dahle,,9c9ad8be-e2b3-46a4-8a79-15278495a53c
